ENST00000422528.1	ENSG00000229905.1
ENST00000655765.1	ENSG00000237491.10
ENST00000412115.2	ENSG00000237491.10
ENST00000670700.1	ENSG00000237491.10
ENST00000429505.6	ENSG00000237491.10
ENST00000657896.1	ENSG00000237491.10
ENST00000434264.6	ENSG00000237491.10
ENST00000457084.1	ENSG00000237491.10
ENST00000658648.1	ENSG00000237491.10
ENST00000656571.1	ENSG00000237491.10
ENST00000665867.1	ENSG00000237491.10
ENST00000669749.1	ENSG00000237491.10
ENST00000666217.1	ENSG00000237491.10
ENST00000665719.1	ENSG00000237491.10
ENST00000651411.1	ENSG00000237491.10
ENST00000589899.5	ENSG00000237491.10
ENST00000609830.1	ENSG00000237491.10
ENST00000443772.2	ENSG00000237491.10
ENST00000585826.1	ENSG00000237491.10
ENST00000592547.1	ENSG00000237491.10
ENST00000586928.5	ENSG00000237491.10
ENST00000585745.5	ENSG00000237491.10
ENST00000585768.5	ENSG00000237491.10
ENST00000590848.5	ENSG00000237491.10
ENST00000591440.5	ENSG00000237491.10
ENST00000587530.5	ENSG00000237491.10
ENST00000593022.5	ENSG00000237491.10
ENST00000589531.5	ENSG00000237491.10
ENST00000588951.5	ENSG00000237491.10
ENST00000586288.1	ENSG00000237491.10
ENST00000591702.1	ENSG00000237491.10
ENST00000655384.1	ENSG00000237491.10
ENST00000667728.1	ENSG00000237491.10
ENST00000644482.1	ENSG00000285268.1
ENST00000447500.4	ENSG00000230092.7
ENST00000590817.3	ENSG00000230092.7
ENST00000326734.2	ENSG00000177757.2
ENST00000624927.3	ENSG00000228794.9
ENST00000623808.3	ENSG00000228794.9
ENST00000445118.7	ENSG00000228794.9
ENST00000669922.1	ENSG00000228794.9
ENST00000670780.1	ENSG00000228794.9
ENST00000667414.1	ENSG00000228794.9
ENST00000666741.1	ENSG00000228794.9
ENST00000623070.4	ENSG00000228794.9
ENST00000659124.1	ENSG00000228794.9
ENST00000658846.1	ENSG00000228794.9
ENST00000608189.5	ENSG00000228794.9
ENST00000448975.6	ENSG00000228794.9
ENST00000449005.6	ENSG00000228794.9
ENST00000441765.6	ENSG00000228794.9
ENST00000609139.6	ENSG00000228794.9
ENST00000609009.6	ENSG00000228794.9
ENST00000657837.1	ENSG00000228794.9
ENST00000610067.6	ENSG00000228794.9
ENST00000416570.5	ENSG00000228794.9
ENST00000661237.1	ENSG00000228794.9
ENST00000668541.1	ENSG00000228794.9
ENST00000657175.1	ENSG00000228794.9
ENST00000660797.1	ENSG00000228794.9
ENST00000622921.1	ENSG00000228794.9
ENST00000670824.1	ENSG00000228794.9
ENST00000415295.1	ENSG00000228794.9
ENST00000425657.1	ENSG00000228794.9
ENST00000671208.1	ENSG00000228794.9
ENST00000661463.1	ENSG00000228794.9
ENST00000473798.1	ENSG00000225880.5
ENST00000446136.1	ENSG00000230368.2
ENST00000432963.1	ENSG00000230368.2
ENST00000427857.1	ENSG00000230368.2
ENST00000415481.1	ENSG00000234711.1
ENST00000635557.1	ENSG00000283040.1
ENST00000607769.1	ENSG00000272438.1
ENST00000448179.1	ENSG00000230699.2
ENST00000398216.2	ENSG00000241180.1
ENST00000609207.1	ENSG00000223764.2
ENST00000417705.1	ENSG00000223764.2
ENST00000432961.1	ENSG00000223764.2
ENST00000420190.6	ENSG00000187634.12
ENST00000437963.5	ENSG00000187634.12
ENST00000342066.8	ENSG00000187634.12
ENST00000618181.4	ENSG00000187634.12
ENST00000622503.4	ENSG00000187634.12
ENST00000618323.4	ENSG00000187634.12
ENST00000616016.4	ENSG00000187634.12
ENST00000618779.4	ENSG00000187634.12
ENST00000616125.4	ENSG00000187634.12
ENST00000620200.4	ENSG00000187634.12
ENST00000617307.4	ENSG00000187634.12
ENST00000341065.8	ENSG00000187634.12
ENST00000455979.1	ENSG00000187634.12
ENST00000478729.1	ENSG00000187634.12
ENST00000474461.1	ENSG00000187634.12
ENST00000466827.1	ENSG00000187634.12
ENST00000464948.1	ENSG00000187634.12
ENST00000327044.7	ENSG00000188976.11
ENST00000483767.5	ENSG00000188976.11
ENST00000477976.5	ENSG00000188976.11
ENST00000496938.1	ENSG00000188976.11
ENST00000487214.1	ENSG00000188976.11
ENST00000469563.1	ENSG00000188976.11
ENST00000338591.8	ENSG00000187961.14
ENST00000622660.1	ENSG00000187961.14
ENST00000463212.1	ENSG00000187961.14
ENST00000466300.1	ENSG00000187961.14
ENST00000481067.1	ENSG00000187961.14
ENST00000379410.7	ENSG00000187583.10
ENST00000379409.6	ENSG00000187583.10
ENST00000379407.7	ENSG00000187583.10
ENST00000480267.1	ENSG00000187583.10
ENST00000491024.1	ENSG00000187583.10
ENST00000341290.6	ENSG00000187642.9
ENST00000479361.1	ENSG00000187642.9
ENST00000433179.3	ENSG00000187642.9
ENST00000606034.1	ENSG00000272512.1
ENST00000428771.6	ENSG00000188290.10
ENST00000304952.10	ENSG00000188290.10
ENST00000481869.1	ENSG00000188290.10
ENST00000484667.2	ENSG00000188290.10
ENST00000624697.4	ENSG00000187608.10
ENST00000624652.1	ENSG00000187608.10
ENST00000649529.1	ENSG00000187608.10
ENST00000423619.2	ENSG00000231702.2
ENST00000458555.1	ENSG00000224969.1
ENST00000379370.7	ENSG00000188157.15
ENST00000620552.4	ENSG00000188157.15
ENST00000652369.1	ENSG00000188157.15
ENST00000651234.1	ENSG00000188157.15
ENST00000469403.1	ENSG00000188157.15
ENST00000479707.1	ENSG00000188157.15
ENST00000466223.1	ENSG00000188157.15
ENST00000478677.1	ENSG00000188157.15
ENST00000492947.1	ENSG00000188157.15
ENST00000461111.1	ENSG00000188157.15
ENST00000418300.1	ENSG00000242590.1
ENST00000394517.7	ENSG00000217801.10
ENST00000427998.5	ENSG00000217801.10
ENST00000456409.5	ENSG00000217801.10
ENST00000412397.2	ENSG00000217801.10
ENST00000433695.1	ENSG00000217801.10
ENST00000451054.1	ENSG00000217801.10
ENST00000442292.2	ENSG00000273443.1
ENST00000453464.3	ENSG00000237330.3
ENST00000379339.5	ENSG00000131591.17
ENST00000465822.5	ENSG00000131591.17
ENST00000379325.7	ENSG00000131591.17
ENST00000421241.6	ENSG00000131591.17
ENST00000487177.5	ENSG00000131591.17
ENST00000477196.5	ENSG00000131591.17
ENST00000467751.5	ENSG00000131591.17
ENST00000464905.1	ENSG00000131591.17
ENST00000379320.5	ENSG00000131591.17
ENST00000379319.5	ENSG00000131591.17
ENST00000434641.5	ENSG00000131591.17
ENST00000482816.5	ENSG00000131591.17
ENST00000462097.5	ENSG00000131591.17
ENST00000473600.1	ENSG00000131591.17
ENST00000475119.5	ENSG00000131591.17
ENST00000442117.5	ENSG00000131591.17
ENST00000427787.5	ENSG00000131591.17
ENST00000472741.5	ENSG00000131591.17
ENST00000480643.1	ENSG00000131591.17
ENST00000648183.1	ENSG00000285812.1
ENST00000416774.1	ENSG00000223823.1
ENST00000384997.3	ENSG00000207730.3
ENST00000384875.3	ENSG00000207607.3
ENST00000362106.1	ENSG00000198976.1
ENST00000606993.1	ENSG00000272141.1
ENST00000379317.1	ENSG00000205231.1
ENST00000506177.1	ENSG00000162571.13
ENST00000379290.5	ENSG00000162571.13
ENST00000379289.5	ENSG00000162571.13
ENST00000379288.3	ENSG00000162571.13
ENST00000460998.1	ENSG00000162571.13
ENST00000514695.1	ENSG00000162571.13
ENST00000486379.1	ENSG00000162571.13
ENST00000328596.10	ENSG00000186891.14
ENST00000379268.7	ENSG00000186891.14
ENST00000486728.5	ENSG00000186891.14
ENST00000379265.5	ENSG00000186891.14
ENST00000497869.5	ENSG00000186827.11
ENST00000379236.4	ENSG00000186827.11
ENST00000453580.1	ENSG00000186827.11
ENST00000360001.11	ENSG00000078808.17
ENST00000660930.1	ENSG00000078808.17
ENST00000465727.5	ENSG00000078808.17
ENST00000263741.12	ENSG00000078808.17
ENST00000494748.1	ENSG00000078808.17
ENST00000478938.1	ENSG00000078808.17
ENST00000655486.1	ENSG00000078808.17
ENST00000403997.2	ENSG00000078808.17
ENST00000459994.2	ENSG00000078808.17
ENST00000379198.5	ENSG00000176022.7
ENST00000462849.1	ENSG00000184163.3
ENST00000478606.1	ENSG00000184163.3
ENST00000330388.2	ENSG00000184163.3
ENST00000468365.1	ENSG00000184163.3
ENST00000486627.1	ENSG00000184163.3
ENST00000565563.1	ENSG00000260179.1
ENST00000450390.6	ENSG00000160087.20
ENST00000347370.6	ENSG00000160087.20
ENST00000349431.10	ENSG00000160087.20
ENST00000400929.6	ENSG00000160087.20
ENST00000464036.5	ENSG00000160087.20
ENST00000360466.6	ENSG00000160087.20
ENST00000400930.8	ENSG00000160087.20
ENST00000467339.1	ENSG00000160087.20
ENST00000473215.5	ENSG00000160087.20
ENST00000435198.5	ENSG00000160087.20
ENST00000509720.5	ENSG00000160087.20
ENST00000491779.5	ENSG00000160087.20
ENST00000466752.5	ENSG00000160087.20
ENST00000503294.5	ENSG00000160087.20
ENST00000477894.5	ENSG00000160087.20
ENST00000471154.1	ENSG00000160087.20
ENST00000422076.5	ENSG00000160087.20
ENST00000502382.1	ENSG00000160087.20
ENST00000461142.3	ENSG00000160087.20
ENST00000488418.2	ENSG00000160087.20
ENST00000434139.1	ENSG00000230415.1
ENST00000453732.1	ENSG00000230415.1
ENST00000379116.9	ENSG00000162572.20
ENST00000379101.8	ENSG00000162572.20
ENST00000338555.6	ENSG00000162572.20
ENST00000400928.7	ENSG00000162572.20
ENST00000470022.1	ENSG00000162572.20
ENST00000325425.12	ENSG00000162572.20
ENST00000467651.2	ENSG00000162572.20
ENST00000379099.3	ENSG00000162572.20
ENST00000492936.5	ENSG00000131584.19
ENST00000354700.10	ENSG00000131584.19
ENST00000467278.5	ENSG00000131584.19
ENST00000353662.4	ENSG00000131584.19
ENST00000470659.1	ENSG00000131584.19
ENST00000379037.6	ENSG00000131584.19
ENST00000476572.1	ENSG00000131584.19
ENST00000493992.1	ENSG00000131584.19
ENST00000472541.5	ENSG00000131584.19
ENST00000354980.7	ENSG00000131584.19
ENST00000478065.5	ENSG00000131584.19
ENST00000479108.5	ENSG00000131584.19
ENST00000438966.1	ENSG00000131584.19
ENST00000613751.1	ENSG00000278073.1
ENST00000379031.10	ENSG00000169972.12
ENST00000470520.5	ENSG00000169972.12
ENST00000463758.1	ENSG00000169972.12
ENST00000467712.1	ENSG00000169972.12
ENST00000493657.1	ENSG00000169972.12
ENST00000470030.6	ENSG00000127054.20
ENST00000540437.5	ENSG00000127054.20
ENST00000545578.5	ENSG00000127054.20
ENST00000620829.4	ENSG00000127054.20
ENST00000618806.4	ENSG00000127054.20
ENST00000435064.5	ENSG00000127054.20
ENST00000497304.6	ENSG00000127054.20
ENST00000323275.10	ENSG00000127054.20
ENST00000411962.5	ENSG00000127054.20
ENST00000462432.5	ENSG00000127054.20
ENST00000478641.5	ENSG00000127054.20
ENST00000421495.6	ENSG00000127054.20
ENST00000458452.7	ENSG00000127054.20
ENST00000419704.5	ENSG00000127054.20
ENST00000532772.5	ENSG00000127054.20
ENST00000450926.6	ENSG00000127054.20
ENST00000527098.5	ENSG00000127054.20
ENST00000485710.5	ENSG00000127054.20
ENST00000461514.6	ENSG00000127054.20
ENST00000525164.5	ENSG00000127054.20
ENST00000528879.5	ENSG00000127054.20
ENST00000525769.5	ENSG00000127054.20
ENST00000531377.5	ENSG00000127054.20
ENST00000527383.5	ENSG00000127054.20
ENST00000531292.5	ENSG00000127054.20
ENST00000467408.6	ENSG00000127054.20
ENST00000434694.6	ENSG00000127054.20
ENST00000531020.1	ENSG00000127054.20
ENST00000533916.5	ENSG00000127054.20
ENST00000488042.6	ENSG00000127054.20
ENST00000526797.5	ENSG00000127054.20
ENST00000526332.5	ENSG00000127054.20
ENST00000430786.5	ENSG00000127054.20
ENST00000527719.5	ENSG00000127054.20
ENST00000530031.5	ENSG00000127054.20
ENST00000526113.1	ENSG00000127054.20
ENST00000526904.5	ENSG00000127054.20
ENST00000525603.1	ENSG00000127054.20
ENST00000429572.5	ENSG00000127054.20
ENST00000498173.2	ENSG00000127054.20
ENST00000496353.1	ENSG00000127054.20
ENST00000493534.6	ENSG00000127054.20
ENST00000534345.5	ENSG00000127054.20
ENST00000532952.5	ENSG00000127054.20
ENST00000490853.5	ENSG00000127054.20
ENST00000531019.5	ENSG00000127054.20
ENST00000498476.6	ENSG00000127054.20
ENST00000470679.3	ENSG00000127054.20
ENST00000525285.1	ENSG00000127054.20
ENST00000530233.1	ENSG00000127054.20
ENST00000620702.1	ENSG00000283712.1
ENST00000444968.1	ENSG00000240731.1
ENST00000464957.1	ENSG00000224051.7
ENST00000343938.9	ENSG00000224051.7
ENST00000488011.1	ENSG00000224051.7
ENST00000339381.6	ENSG00000169962.5
ENST00000378891.9	ENSG00000107404.20
ENST00000378888.10	ENSG00000107404.20
ENST00000610709.2	ENSG00000107404.20
ENST00000632445.1	ENSG00000107404.20
ENST00000631679.1	ENSG00000107404.20
ENST00000634054.1	ENSG00000107404.20
ENST00000633096.1	ENSG00000107404.20
ENST00000472445.1	ENSG00000107404.20
ENST00000616525.1	ENSG00000284372.1
ENST00000474033.5	ENSG00000162576.16
ENST00000342753.8	ENSG00000162576.16
ENST00000309212.10	ENSG00000162576.16
ENST00000445648.5	ENSG00000162576.16
ENST00000477278.3	ENSG00000162576.16
ENST00000473097.5	ENSG00000162576.16
ENST00000478517.5	ENSG00000162576.16
ENST00000476718.1	ENSG00000162576.16
ENST00000464351.1	ENSG00000162576.16
ENST00000460473.1	ENSG00000162576.16
ENST00000338370.7	ENSG00000175756.13
ENST00000338338.9	ENSG00000175756.13
ENST00000321751.9	ENSG00000175756.13
ENST00000378853.3	ENSG00000175756.13
ENST00000489799.1	ENSG00000175756.13
ENST00000496905.1	ENSG00000175756.13
ENST00000435351.2	ENSG00000223663.2
ENST00000480479.5	ENSG00000221978.12
ENST00000400809.8	ENSG00000221978.12
ENST00000482621.5	ENSG00000221978.12
ENST00000463260.5	ENSG00000221978.12
ENST00000496007.5	ENSG00000221978.12
ENST00000482365.5	ENSG00000221978.12
ENST00000408952.8	ENSG00000221978.12
ENST00000481223.6	ENSG00000221978.12
ENST00000418865.6	ENSG00000221978.12
ENST00000505849.5	ENSG00000221978.12
ENST00000488340.5	ENSG00000221978.12
ENST00000492998.5	ENSG00000221978.12
ENST00000469113.5	ENSG00000221978.12
ENST00000480646.1	ENSG00000221978.12
ENST00000471930.5	ENSG00000221978.12
ENST00000408918.8	ENSG00000221978.12
ENST00000473872.5	ENSG00000221978.12
ENST00000425598.2	ENSG00000221978.12
ENST00000463895.1	ENSG00000221978.12
ENST00000497013.1	ENSG00000221978.12
ENST00000659048.1	ENSG00000224870.7
ENST00000448629.6	ENSG00000224870.7
ENST00000444362.2	ENSG00000224870.7
ENST00000418833.2	ENSG00000224870.7
ENST00000576232.1	ENSG00000224870.7
ENST00000570344.1	ENSG00000224870.7
ENST00000447725.2	ENSG00000224870.7
ENST00000572242.1	ENSG00000224870.7
ENST00000453521.1	ENSG00000224870.7
ENST00000344843.12	ENSG00000242485.6
ENST00000493287.5	ENSG00000242485.6
ENST00000487659.1	ENSG00000242485.6
ENST00000492508.1	ENSG00000242485.6
ENST00000482352.1	ENSG00000242485.6
ENST00000477686.1	ENSG00000242485.6
ENST00000582431.2	ENSG00000264293.2
ENST00000607307.1	ENSG00000272455.1
ENST00000520296.5	ENSG00000235098.8
ENST00000427211.3	ENSG00000235098.8
ENST00000537107.5	ENSG00000235098.8
ENST00000454272.2	ENSG00000235098.8
ENST00000442470.1	ENSG00000235098.8
ENST00000428932.1	ENSG00000225905.1
ENST00000378821.3	ENSG00000205116.3
ENST00000430109.1	ENSG00000225285.1
ENST00000434150.1	ENSG00000225285.1
ENST00000454562.1	ENSG00000225285.1
ENST00000417917.1	ENSG00000225285.1
ENST00000495558.1	ENSG00000179403.12
ENST00000338660.5	ENSG00000179403.12
ENST00000476993.2	ENSG00000179403.12
ENST00000471398.1	ENSG00000179403.12
ENST00000378785.6	ENSG00000215915.9
ENST00000475091.2	ENSG00000215915.9
ENST00000484537.2	ENSG00000215915.9
ENST00000308647.7	ENSG00000160072.19
ENST00000472194.6	ENSG00000160072.19
ENST00000378736.3	ENSG00000160072.19
ENST00000485748.5	ENSG00000160072.19
ENST00000474481.1	ENSG00000160072.19
ENST00000641974.1	ENSG00000284740.1
ENST00000641679.1	ENSG00000284740.1
ENST00000378756.7	ENSG00000197785.13
ENST00000378755.9	ENSG00000197785.13
ENST00000339113.8	ENSG00000197785.13
ENST00000536055.5	ENSG00000197785.13
ENST00000439513.1	ENSG00000197785.13
ENST00000429957.1	ENSG00000197785.13
ENST00000400830.3	ENSG00000197785.13
ENST00000378733.9	ENSG00000205090.9
ENST00000425828.1	ENSG00000205090.9
ENST00000624426.1	ENSG00000205090.9
ENST00000291386.4	ENSG00000160075.12
ENST00000378726.1	ENSG00000160075.12
ENST00000378725.3	ENSG00000160075.12
ENST00000359060.5	ENSG00000160075.12
ENST00000647566.1	ENSG00000215014.5
ENST00000366221.3	ENSG00000215014.5
ENST00000621860.1	ENSG00000274481.1
ENST00000422725.4	ENSG00000228594.4
ENST00000658591.1	ENSG00000286989.1
ENST00000607222.1	ENSG00000272106.1
ENST00000520777.5	ENSG00000197530.12
ENST00000355826.9	ENSG00000197530.12
ENST00000518681.5	ENSG00000197530.12
ENST00000505820.6	ENSG00000197530.12
ENST00000479659.5	ENSG00000197530.12
ENST00000489635.5	ENSG00000197530.12
ENST00000511502.5	ENSG00000197530.12
ENST00000477990.1	ENSG00000197530.12
ENST00000514363.1	ENSG00000197530.12
ENST00000487053.5	ENSG00000197530.12
ENST00000502470.5	ENSG00000197530.12
ENST00000378712.5	ENSG00000197530.12
ENST00000507082.1	ENSG00000197530.12
ENST00000463492.1	ENSG00000197530.12
ENST00000510793.5	ENSG00000197530.12
ENST00000504599.5	ENSG00000197530.12
ENST00000507229.5	ENSG00000197530.12
ENST00000503789.5	ENSG00000197530.12
ENST00000378708.5	ENSG00000197530.12
ENST00000506488.5	ENSG00000197530.12
ENST00000512004.1	ENSG00000197530.12
ENST00000508455.1	ENSG00000197530.12
ENST00000514234.5	ENSG00000197530.12
ENST00000467597.1	ENSG00000197530.12
ENST00000508148.1	ENSG00000197530.12
ENST00000486072.1	ENSG00000197530.12
ENST00000505370.1	ENSG00000197530.12
ENST00000473511.5	ENSG00000197530.12
ENST00000464570.1	ENSG00000197530.12
ENST00000483015.1	ENSG00000197530.12
ENST00000511910.1	ENSG00000197530.12
ENST00000470373.1	ENSG00000197530.12
ENST00000356026.9	ENSG00000189409.13
ENST00000472264.1	ENSG00000189409.13
ENST00000512731.5	ENSG00000189409.13
ENST00000378675.7	ENSG00000189409.13
ENST00000479814.5	ENSG00000189409.13
ENST00000435358.5	ENSG00000189409.13
ENST00000503792.1	ENSG00000189409.13
ENST00000489782.1	ENSG00000189409.13
ENST00000486400.1	ENSG00000189409.13
ENST00000490017.1	ENSG00000189409.13
ENST00000341832.10	ENSG00000248333.8
ENST00000407249.7	ENSG00000248333.8
ENST00000615951.4	ENSG00000248333.8
ENST00000340677.9	ENSG00000248333.8
ENST00000611150.3	ENSG00000248333.8
ENST00000629289.2	ENSG00000248333.8
ENST00000626918.2	ENSG00000248333.8
ENST00000629312.2	ENSG00000248333.8
ENST00000341028.8	ENSG00000248333.8
ENST00000607013.1	ENSG00000272004.1
ENST00000614300.4	ENSG00000189339.11
ENST00000617444.4	ENSG00000189339.11
ENST00000611123.1	ENSG00000189339.11
ENST00000480991.1	ENSG00000189339.11
ENST00000481276.1	ENSG00000189339.11
ENST00000596308.1	ENSG00000269737.2
ENST00000597891.1	ENSG00000269737.2
ENST00000234610.5	ENSG00000215914.4
ENST00000404249.8	ENSG00000008128.23
ENST00000356200.7	ENSG00000008128.23
ENST00000463652.5	ENSG00000008128.23
ENST00000356937.7	ENSG00000008128.23
ENST00000378638.6	ENSG00000008128.23
ENST00000509982.5	ENSG00000008128.23
ENST00000460465.5	ENSG00000008128.23
ENST00000357760.6	ENSG00000008128.23
ENST00000358779.9	ENSG00000008128.23
ENST00000378633.5	ENSG00000008128.23
ENST00000478901.1	ENSG00000008128.23
ENST00000468397.1	ENSG00000008128.23
ENST00000491311.1	ENSG00000008128.23
ENST00000495016.5	ENSG00000008128.23
ENST00000468800.5	ENSG00000008128.23
ENST00000464748.1	ENSG00000008128.23
ENST00000489300.1	ENSG00000008128.23
ENST00000492390.5	ENSG00000008128.23
ENST00000474916.1	ENSG00000008128.23
ENST00000479362.1	ENSG00000008128.23
ENST00000498810.1	ENSG00000008128.23
ENST00000487462.1	ENSG00000008128.23
ENST00000401096.2	ENSG00000008128.23
ENST00000598846.1	ENSG00000268575.1
ENST00000577672.1	ENSG00000227775.3
ENST00000417099.1	ENSG00000227775.3
ENST00000424604.1	ENSG00000227775.3
ENST00000418950.2	ENSG00000227775.3
ENST00000647043.1	ENSG00000215790.7
ENST00000355439.7	ENSG00000215790.7
ENST00000643905.1	ENSG00000215790.7
ENST00000475229.2	ENSG00000215790.7
ENST00000246421.4	ENSG00000215790.7
ENST00000643943.1	ENSG00000215790.7
ENST00000341426.9	ENSG00000008130.15
ENST00000341991.7	ENSG00000008130.15
ENST00000378625.5	ENSG00000008130.15
ENST00000342348.9	ENSG00000008130.15
ENST00000498806.1	ENSG00000008130.15
ENST00000469045.5	ENSG00000008130.15
ENST00000480499.5	ENSG00000008130.15
ENST00000497747.5	ENSG00000008130.15
ENST00000477235.5	ENSG00000008130.15
ENST00000489538.1	ENSG00000008130.15
ENST00000497615.1	ENSG00000008130.15
ENST00000497186.5	ENSG00000008130.15
ENST00000492845.6	ENSG00000008130.15
ENST00000492768.5	ENSG00000008130.15
ENST00000460602.5	ENSG00000008130.15
ENST00000464373.1	ENSG00000008130.15
ENST00000480542.1	ENSG00000008130.15
ENST00000610897.4	ENSG00000078369.18
ENST00000615252.4	ENSG00000078369.18
ENST00000378609.9	ENSG00000078369.18
ENST00000461893.5	ENSG00000078369.18
ENST00000471354.1	ENSG00000078369.18
ENST00000439272.6	ENSG00000078369.18
ENST00000434686.6	ENSG00000078369.18
ENST00000437146.1	ENSG00000078369.18
ENST00000607589.1	ENSG00000078369.18
ENST00000472614.2	ENSG00000078369.18
ENST00000412228.1	ENSG00000231050.1
ENST00000378604.3	ENSG00000169885.10
ENST00000307786.8	ENSG00000169885.10
ENST00000482402.1	ENSG00000169885.10
ENST00000462293.1	ENSG00000169885.10
ENST00000378602.3	ENSG00000178821.13
ENST00000310991.8	ENSG00000178821.13
ENST00000378598.4	ENSG00000178821.13
ENST00000470931.2	ENSG00000178821.13
ENST00000602604.1	ENSG00000178821.13
ENST00000416272.1	ENSG00000178821.13
ENST00000642590.1	ENSG00000142609.18
ENST00000493964.5	ENSG00000142609.18
ENST00000464311.5	ENSG00000142609.18
ENST00000412120.2	ENSG00000142609.18
ENST00000493316.5	ENSG00000142609.18
ENST00000270720.11	ENSG00000142609.18
ENST00000468610.5	ENSG00000142609.18
ENST00000461752.3	ENSG00000142609.18
ENST00000378592.1	ENSG00000142609.18
ENST00000378590.4	ENSG00000142609.18
ENST00000443930.1	ENSG00000233542.2
ENST00000659674.1	ENSG00000233542.2
ENST00000638411.1	ENSG00000187730.9
ENST00000378585.7	ENSG00000187730.9
ENST00000639045.1	ENSG00000187730.9
